ID,Intersection,Date,Time of Day,Manual_Total,Vision_Total,Pct_Diff,GEH_15min,GEH_Hourly_Equiv
8030800,CSAH 28 (E Bush Lake Rd) at 78th St W ,2026-03-30,16:00:00,396,408,0.030303030303030304,0.5985056016645798,1.1970112033291596
8040000,CSAH 101 (Central Ave) at 14th Ave N - Master Controller,,,478,491,0.027196652719665274,0.5906041055515311,1.1812082111030622
8052100,CSAH 1 (Pioneer Trail) at Bennett Place,2025-04-25,07:45:00,273,264,-0.03296703296703297,0.5492503779276181,1.0985007558552362
8056000,CSAH 10 (County Road 10) at CSAH 116 (Fletcher Ln),2026-01-09,08:30:00,213,206,-0.03286384976525822,0.4836219750974267,0.9672439501948534
8026000,CSAH 152 (Brooklyn Blvd) at 63rd Ave N,2026-05-22,08:30:00,385,394,0.023376623376623377,0.45602513274432593,0.9120502654886519
8037000,CSAH 152 (Brooklyn Blvd) at Cub Foods Driveway,2026-06-16,16:00:00,476,486,0.02100840336134454,0.4559607525875532,0.9119215051751064
8049100,CSAH 101 (County Rd 101) at Hutchins Dr,2026-03-18,15:00:00,514,504,-0.019455252918287938,0.4432422071779362,0.8864844143558724
9010695,CSAH 121 (Maple Grove Pkwy) at 99th Ave / Grove Cir,2026-02-19,15:15:00,574,583,0.0156794425087108,0.3741888374667286,0.7483776749334572
8058010,CSAH 73 (Hopkins Crossroad) at Wayzata Blvd / North Frontage Road,2026-03-12,16:00:00,437,431,-0.013729977116704805,0.2880092164423916,0.5760184328847832
8025600,CSAH 10 (Bass Lake Rd) at CSAH 152 (Brooklyn Blvd) - Master Controller,2026-01-13,08:30:00,385,380,-0.012987012987012988,0.2556549962824568,0.5113099925649136
8038300,CSAH 152 (Brooklyn Blvd) at Unity Ave N,2026-06-17,16:00:00,435,430,-0.011494252873563218,0.2404235184171725,0.480847036834345
8044600,CSAH 1 (Old Shakopee Rd) at Nesbitt Ave,2025-07-07,15:00:00,471,466,-0.010615711252653927,0.23100171634912875,0.4620034326982575
8031600,CSAH 10 (Bass Lake Rd) at Sycamore Ln / Prudential Bldg - Master Controller,2026-01-06,12:45:00,301,305,0.013289036544850499,0.22979399584857044,0.4595879916971409
8057600,CSAH 61 (Flying Cloud Dr) at Singletree Ln,2026-04-14,16:00:00,601,596,-0.008319467554076539,0.20437977982832192,0.40875955965664384
8026600,CSAH 152 (Brooklyn Blvd) at Noble Ave / 71st Ave,2026-06-17,08:00:00,402,406,0.009950248756218905,0.19900743804199783,0.39801487608399566
8057550,CSAH 61 (Flying Cloud Dr) at Regional Center Rd,2026-04-14,15:00:00,431,428,-0.0069605568445475635,0.14475703219601424,0.2895140643920285
8051900,CSAH 109 (85th Ave N) at Edinbrook Pkwy N,2026-02-20,08:30:00,209,211,0.009569377990430622,0.13801311186847084,0.2760262237369417
8033300,CSAH 88 (New Brighton Blvd) at St Anthony Blvd,2026-05-04,08:00:00,431,429,-0.004640371229698376,0.09644856443408242,0.19289712886816485
8037300,CSAH 1 (Pioneer Trail) at Homeward Hills Rd,2025-12-29,08:30:00,223,222,-0.004484304932735426,0.06704015231539909,0.13408030463079817
8026100,CSAH 152 (Brooklyn Blvd) at 65th Ave N,2026-05-22,15:15:00,621,620,-0.001610305958132045,0.04014478229518501,0.08028956459037002
8026800,CSAH 152 (Brooklyn Blvd / Osseo Rd) at 49th Ave N BACKHAUL,2026-05-21,07:15:00,226,226,0.0,0.0,0.0
9010720,CSAH 30 (93rd Ave) at CSAH 121 (Maple Grove Pkwy),2026-03-24,12:15:00,585,585,0.0,0.0,0.0
