ID,Intersection,Label,Date,Time of Day,Duration_Hours,Consultant_Total,Vision_Total,Pct_Diff,GEH,GEH_Hourly_Rate
8054900,CSAH 28 (E Bush Lake Rd) at American Blvd / Green Valley Dr,Consultant,2025-04-08,6:00 AM TO 7:00 PM,13.0,12382,10037,-0.18938782103052818,22.148775767228656,6.142965132115167
8058010,CSAH 73 (Hopkins Crossroad) at Wayzata Blvd / North Frontage Road,Consultant,2025-05-01,5:00 AM to 11:00 PM,18.0,18666,16482,-0.1170041787206686,16.474692718551893,3.883122313084228
8055900,CSAH 30 (97th Ave) at CSAH 101 (Brockton Ln N),Consultant,2026-04-29,6:00 AM to 7:00 PM,13.0,22606,20197,-0.10656462885959479,16.46700787737472,4.567126250411077
8031600,CSAH 10 (Bass Lake Rd) at Sycamore Ln / Prudential Bldg - Master Controller,Consultant,2026-04-29,5:00 AM to 11:00 PM,18.0,29888,27273,-0.08749330835117773,15.468093267878343,3.6458645472475824
8057400,CSAH 61 (Flying Cloud Dr) at Anderson Lakes Pkwy,Consultant,2025-11-05,6:00 AM TO 7:00 PM,13.0,22981,20720,-0.09838562290587877,15.295718161412434,4.242268932770639
8048800,CSAH 4 (Eden Prairie Rd) at Edenwood Dr BACKHAUL,Consultant,2024-05-08,6:00 AM to 7:00 PM,13.0,8538,7345,-0.1397282736003748,13.387182180324855,3.712936291164542
8033300,CSAH 88 (New Brighton Blvd) at St Anthony Blvd,Consultant,2025-04-24,5:00 AM to 11:00 PM,18.0,21360,19511,-0.08656367041198502,12.934340124706738,3.048653204117801
8028100,CSAH 28 (E Bush Lake Rd) at 84th St W / Chalet Rd,Consultant,2025-04-08,6:00 AM to 7:00 PM,13.0,14541,13202,-0.09208445086307682,11.368910927343203,3.1531685611322096
8037500,CSAH 61 (Plymouth Rd) at Sherwood Place / Regency Woods Apartments,Consultant,2025-05-01,6:00 AM TO 7:00 PM,13.0,5289,4524,-0.14463981849120816,10.921330089894571,3.0290319719525103
8017000,CSAH 34 (Normandale Blvd) at 102nd St W BACKHAUL,Consultant,2025-04-08,6:00 AM to 7:00 PM,13.0,10519,9454,-0.10124536552904269,10.657196036807495,2.955774366413925
8024300,CSAH 61 (Plymouth Rd) at Ridgedale Dr,Consultant,2025-05-01,6:00 AM TO 7:00 PM,13.0,14453,13221,-0.08524181830761779,10.47344936384052,2.904812208638668
8021900,CSAH 52 (Nicollet Ave) at 84th St,Consultant,2025-04-10,6:00 AM TO 7:00 PM,13.0,9475,8595,-0.09287598944591029,9.258030212143678,2.5677155876675966
9010695,CSAH 121 (Maple Grove Pkwy) at 99th Ave / Grove Cir,Consultant,2026-04-29,5:00 AM to 11:00 PM,18.0,31522,30177,-0.0426686123976905,7.657697730212515,1.8049366644366995
9010690,CSAH 121 (Maple Grove Pkwy) at Hospital Dr,Consultant,2026-04-29,6:00 AM to 7:00 PM,13.0,25223,24561,-0.026245886690718787,4.195928637381909,1.1637412192514012
8057450,CSAH 61 (Flying Cloud Dr) at Fountain Pl,Consultant,2025-11-05,6:00 AM TO 7:00 PM,13.0,23292,22797,-0.02125193199381762,3.2607804170081374,0.9043777685808995
8022300,CSAH 61 (Plymouth Rd) at Cartway Dr,Consultant,2025-05-01,6:00 AM TO 7:00 PM,13.0,17985,17583,-0.022351959966638867,3.0144725134611785,0.8360642473662434
8057300,CSAH 1 (Pioneer Trail) at CSAH 61 (Flying Cloud Dr),Consultant,2025-11-05,6:00 AM to 7:00 PM,13.0,23440,23069,-0.01582764505119454,2.432878422302294,0.6747590691216071
8057500,CSAH 61 (Flying Cloud Dr) at Prairie Center Dr BACKHAUL,Consultant,2025-10-29,5:00 AM to 11 PM,18.0,36033,35603,-0.011933505397829768,2.27204950325099,0.535527203646768
8044600,CSAH 1 (Old Shakopee Rd) at Nesbitt Ave,Consultant,2025-04-17,5:00 AM to 11:00 PM,18.0,2013,1940,-0.03626428216592151,1.6420049075344798,0.38702426828640707
8057650,CSAH 61 (Flying Cloud Dr) at Leona Rd / Eden Rd,Consultant,2025-11-05,6:00 AM TO 7:00 PM,13.0,26793,26541,-0.009405441719852201,1.5431688931779597,0.4279980439272439
8032700,CSAH 153 (Kenzie Ter) at Kenzington Apts,Consultant,2025-04-17,6:00 AM TO 7:00 PM,13.0,4207,4274,0.01592583788923223,1.02888365717527,0.28536098326402554
8058015,CSAH 73 (Hopkins Crossroad) at S Frontage Rd,Consultant,2025-05-01,6:00 AM TO 7:00 PM,13.0,15326,15203,-0.008025577450084823,0.9955517034990237,0.2761163626416312
8027300,CSAH 61 (Plymouth Rd) at I-394 N Frontage Rd,Consultant,2025-05-01,6:00 AM TO 7:00 PM,13.0,17803,17694,-0.006122563612874235,0.8181739927569605,0.22692063716433494
8054800,CSAH 30 (93rd Ave) at Upland Ln N,Consultant,2026-04-29,6:00 AM to 7:00 PM,13.0,14826,14759,-0.004519088088493188,0.5508762052803022,0.15278556958239767
